make,model,sellingprice,price_category
Acura,MDX,41750,Average
Acura,RDX,32700,Affordable
Acura,TLX,26200,Affordable
Acura,MDX,41600,Average
Acura,ILX,22000,Affordable
Acura,ILX,20750,Affordable
Acura,ILX,21400,Affordable
Acura,RDX,34250,Affordable
Acura,ILX,21500,Affordable
Acura,RDX,34100,Affordable
Acura,ILX,20600,Affordable
Acura,RDX,34900,Affordable
Acura,RDX,33700,Affordable
Acura,RDX,34750,Affordable
Acura,RDX,35500,Affordable
Acura,MDX,40300,Average
Audi,A3,28400,Affordable
Audi,Q5,33000,Affordable
Audi,A3,23750,Affordable
Audi,Q5,37500,Affordable
Audi,A4,28000,Affordable
Audi,A3,29400,Affordable
Audi,A3,24200,Affordable
Audi,A3,24800,Affordable
Audi,A4,26200,Affordable
Audi,A3,27000,Affordable
Audi,TT,32600,Affordable
Audi,A3,22000,Affordable
Audi,A3,22200,Affordable
Audi,A3,23500,Affordable
Audi,TTS,41500,Average
Audi,A3,24500,Affordable
Audi,A3,26800,Affordable
Audi,A3,24500,Affordable
Audi,A3,22000,Affordable
Audi,A3,17300,Affordable
Audi,A3,23500,Affordable
Audi,A3,25200,Affordable
Audi,A4,30250,Affordable
Audi,A3,25750,Affordable
Audi,A3,28750,Affordable
Audi,A3,27750,Affordable
Audi,A4,31500,Affordable
Audi,A3,28250,Affordable
Audi,A3,22800,Affordable
Audi,A3,22000,Affordable
Audi,A3,24500,Affordable
Audi,A3,25250,Affordable
Audi,A3,25500,Affordable
Audi,A3,31600,Affordable
Audi,A3,24000,Affordable
Audi,A3,24500,Affordable
Audi,A3,24750,Affordable
Audi,A3,26000,Affordable
Audi,A3,24000,Affordable
Audi,A3,25750,Affordable
Audi,A3,24250,Affordable
Audi,A3,25000,Affordable
Audi,A3,24250,Affordable
Audi,A3,25000,Affordable
Audi,A3,25250,Affordable
Audi,A3,23750,Affordable
Audi,A3,23750,Affordable
Audi,A3,25400,Affordable
Audi,A3,32800,Affordable
Audi,A3,23500,Affordable
Audi,A3,21200,Affordable
Audi,Q5,32000,Affordable
Audi,A3,29800,Affordable
Audi,A3,17200,Affordable
Audi,A3,31200,Affordable
Audi,A3,27500,Affordable
Audi,A3,22400,Affordable
Audi,A3,24500,Affordable
Audi,Q5,43250,Average
Audi,A4,27750,Affordable
Audi,Q5,42750,Average
Audi,A3,25000,Affordable
Audi,Q5,42000,Average
Audi,Q5,38800,Affordable
Audi,Q5,44000,Average
